"N° d'AR";"N° de commande";"Code client";"Code STAUFF";Désigniation;Quantité;"Prix unit.";"Date départ";Status
21905841;1770;168867;316104.272;CLH-426.9/26.9-PP-PP-BK;50;0,1648;03/09/2019;"En Cours"
21905841;1770;178155;911112809;SMK-20-9/16UNF-B-E-W3;50;2,8000;03/09/2019;"En Cours"
21905841;1770;261680;1210003019;SMK-20-M14x1.5-B-E-W3;140;2,6000;03/09/2019;"En Cours"
21905841;1770;279147;3191032109;CLH-321.3/08-PP-BK;150;0,7500;03/09/2019;"En Cours"
21905841;1770;52614822;6100208238;CBVSL-3-12S-0081-M-SM;50;61,3244;03/09/2019;"En Cours"
21905842;1768;163876;110102;SP-2-M-W2;200;0,2163;03/09/2019;"En Cours"
21905842;1768;168001;310502;SP-2D-M-W2-OV;2000;0,3090;03/09/2019;"En Cours"
21905842;1768;168486;116202.137;CLH-213.5-PP-BK;350;0,0618;03/09/2019;"En Cours"
21905842;1768;168488;116203.216;CLH-321.3-PP-BK;200;0,0721;03/09/2019;"En Cours"
21905842;1768;168489;116203.253;CLH-325-PP-BK;100;0,0721;03/09/2019;"En Cours"
21905842;1768;168490;125202;DP-2-W3;500;0,0618;03/09/2019;"En Cours"
21905842;1768;168491;125203;DP-3-W3;350;0,0618;03/09/2019;"En Cours"
21905842;1768;168492;316102.139;CLH-213.5/13.5-PP-BK;2500;0,0618;03/09/2019;"En Cours"
21905842;1768;168494;325202;GD-2D-W3;2500;0,1030;03/09/2019;"En Cours"
21905842;1768;168746;116201.124;CLH-112a-PP-BK;400;0,0618;03/09/2019;"En Cours"
21905842;1768;168758;316102.163;CLH-216/16-PP-BK;5000;0,0618;03/09/2019;"En Cours"
21905842;1768;168847;125201;DP-1a-W3;1200;0,0515;03/09/2019;"En Cours"
21905842;1768;168848;310501;SP-1D-M-W2-OV;200;0,2472;03/09/2019;"En Cours"
21905842;1768;168850;116202.163;CLH-216-PP-BK;750;0,0618;03/09/2019;"En Cours"
21905842;1768;168851;116203.202;CLH-320-PP-BK;350;0,0721;03/09/2019;"En Cours"
21905842;1768;168852;316103.203;CLH-320/20-PP-BK;1550;0,0927;03/09/2019;"En Cours"
21905842;1768;168853;310503;SP-3D-M-W2-OV;1000;0,3399;03/09/2019;"En Cours"
21905842;1768;168854;325203;GD-3D-W3;3000;0,1030;03/09/2019;"En Cours"
21905842;1768;168855;316103.252;CLH-325/25-PP-PP-BK;400;0,0927;03/09/2019;"En Cours"
21905842;1768;168858;125204;DP-4-W3;575;0,0721;13/09/2019;"En Cours"
21905842;1768;168861;325204;GD-4D-W3;225;0,1236;03/09/2019;"En Cours"
21905842;1768;168863;316102.174;CLH-217.2/17.2-PP-BK;1000;0,0618;03/09/2019;"En Cours"
21905842;1768;168864;116203.232;CLH-323-PP-BK;250;0,0721;03/09/2019;"En Cours"
21905842;1768;168865;316103.232;CLH-323/23-PP-BK;1500;0,0927;03/09/2019;"En Cours"
